commute_route,daily_km,flights_per_year,transport_co2_kg,pc_type,gaming_hours,study_hours,phone_model,phone_charges_day,heating_type,tech_co2_kg,dj_hours_day,board_games_month,streaming_hours,recycling_habit,shower_minutes,pets,housework_freq,lifestyle_co2_kg,clothing_items_month,fashion_style,perfume_shipping,fashion_co2_kg,diet_type,coffee_cups_day,smoker,food_delivery,plastic_water,diet_co2_kg,total_daily_co2_kg
Personal Car (Gasoline),26.0,1,5.677,Tablet Only,0.4,5.8,Flagship Phone (5000 mAh),2,Dormitory (Shared),1.567,0.0,3,4.1,Sometimes,9.0,None,High (5+ cycles/wk),1.554,8,Fast Fashion,Never,4.0,Moderate Meat,3,No,Rarely (1-2/month),1-2 bottles/day,5.625,18.423
Bus Only,20.8,0,2.184,Standard Office Laptop,1.1,3.5,Flagship Phone (5000 mAh),1,Dormitory (Shared),1.609,1.0,3,3.1,Sometimes,13.0,Cat (Indoor),Medium (3-4 cycles/wk),2.594,2,Fast Fashion,Rarely (1-2/yr),1.001,Heavy Meat Eater,2,Yes,Never,3-4 bottles/day,7.9,15.288
Ferry + Bus,3.0,1,0.97,High-End Gaming Laptop,0.9,3.7,Flagship Phone (5000 mAh),1,Apartment (Electric),4.114,3.0,0,4.3,Never,13.0,None,Dormitory / Outsourced,1.707,2,Minimal / Capsule,Never,0.5,Moderate Meat,1,No,Never,Tap / Filtered (0),5.36,12.651
Personal Car (Diesel),17.7,0,3.027,Desktop Gaming PC,3.9,6.2,Mid-Range Phone (4500 mAh),2,Dormitory (Shared),3.182,0.0,0,6.8,Strict Recycler,7.0,None,Dormitory / Outsourced,-0.326,3,Designer / Luxury,Frequently (monthly),2.264,Pescatarian,1,Yes,Sometimes (1-2/week),1-2 bottles/day,5.38,13.527
Personal Car (Diesel),71.9,4,15.035,Desktop Gaming PC,2.9,7.2,Flagship Phone (5000 mAh),1,Apartment (Natural Gas),5.873,0.0,3,5.6,Sometimes,17.0,Cat (Indoor),Medium (3-4 cycles/wk),3.108,3,Fast Fashion,Rarely (1-2/yr),1.501,Vegetarian,3,No,Rarely (1-2/month),3-4 bottles/day,3.985,29.502
Marmaray + Metro (cross-city),37.6,1,1.738,Mid-Range Gaming Laptop,0.9,4.0,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),1.775,1.0,0,2.2,Sometimes,15.0,Cat (Indoor),Medium (3-4 cycles/wk),2.244,5,Minimal / Capsule,Rarely (1-2/yr),1.251,Moderate Meat,5,No,Frequently (3+/week),3-4 bottles/day,6.147,13.155
Walking / Cycling,20.0,1,0.685,Tablet Only,1.5,2.3,Mid-Range Phone (4500 mAh),2,Apartment (Electric),3.847,0.0,0,0.8,Never,3.0,None,High (5+ cycles/wk),0.773,5,Minimal / Capsule,Sometimes (3-6/yr),1.255,Vegetarian,5,No,Rarely (1-2/month),1-2 bottles/day,3.945,10.505
Personal Car (Diesel),7.1,1,1.899,Mid-Range Gaming Laptop,0.3,3.3,Mid-Range Phone (4500 mAh),1,Apartment (Natural Gas),4.405,2.0,1,2.4,Sometimes,13.0,Medium/Large Dog,High (5+ cycles/wk),4.074,6,Fast Fashion,Rarely (1-2/yr),3.001,Moderate Meat,6,No,Rarely (1-2/month),Tap / Filtered (0),5.685,19.065
Metrobüs,20.8,0,1.352,High-End Gaming Laptop,5.7,5.5,Budget Phone (4000 mAh),2,Dormitory (Shared),2.254,1.0,3,1.6,Strict Recycler,8.0,None,Medium (3-4 cycles/wk),0.161,6,Streetwear / Heavy Denim,Rarely (1-2/yr),3.901,Pescatarian,6,No,Sometimes (1-2/week),Tap / Filtered (0),4.96,12.629
Bus Only,25.0,1,3.31,Tablet Only,6.8,2.5,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),1.576,0.0,4,3.7,Sometimes,17.0,None,Medium (3-4 cycles/wk),2.32,8,Minimal / Capsule,Never,2.0,Moderate Meat,4,No,Sometimes (1-2/week),1-2 bottles/day,5.76,14.966
Bus Only,12.5,2,2.682,Desktop Office PC,9.8,3.7,Flagship Phone (5000 mAh),2,Apartment (Electric),4.458,0.0,2,1.2,Strict Recycler,5.0,None,Medium (3-4 cycles/wk),-0.351,3,Streetwear / Heavy Denim,Rarely (1-2/yr),1.951,Moderate Meat,1,Yes,Sometimes (1-2/week),Tap / Filtered (0),6.06,14.801
Metrobüs,18.6,1,1.894,Tablet Only,5.1,4.4,Budget Phone (4000 mAh),1,Apartment (Natural Gas),4.275,2.0,1,2.9,Sometimes,10.0,Cat (Indoor),Medium (3-4 cycles/wk),1.973,11,Streetwear / Heavy Denim,Sometimes (3-6/yr),7.155,Vegetarian,0,No,Sometimes (1-2/week),Tap / Filtered (0),3.6,18.898
Metrobüs,42.8,0,2.782,Desktop Office PC,0.5,2.6,Flagship Phone (5000 mAh),2,Apartment (Natural Gas),4.369,0.0,1,4.3,Strict Recycler,14.0,Medium/Large Dog,Medium (3-4 cycles/wk),3.053,2,Fast Fashion,Sometimes (3-6/yr),1.005,Moderate Meat,4,No,Rarely (1-2/month),3-4 bottles/day,5.845,17.055
Metrobüs,8.2,1,1.218,Desktop Gaming PC,0.1,5.6,Mid-Range Phone (4500 mAh),2,Apartment (Electric),4.758,2.0,4,2.8,Sometimes,12.0,None,High (5+ cycles/wk),1.996,5,Designer / Luxury,Rarely (1-2/yr),3.751,Vegetarian,1,No,Sometimes (1-2/week),3-4 bottles/day,3.94,15.664
Bus Only,7.1,1,1.43,Mid-Range Gaming Laptop,2.2,5.0,Flagship Phone (5000 mAh),1,Family Home (High Usage),6.901,3.0,0,1.6,Strict Recycler,16.0,None,High (5+ cycles/wk),0.687,4,Minimal / Capsule,Never,1.0,Moderate Meat,2,No,Rarely (1-2/month),3-4 bottles/day,5.725,15.743
Personal Car (Hybrid),24.2,3,4.717,Standard Office Laptop,6.1,7.0,Budget Phone (4000 mAh),2,Dormitory (Shared),1.794,2.0,0,4.8,Sometimes,4.0,Cat (Indoor),High (5+ cycles/wk),1.49,6,Vintage / Thrift,Sometimes (3-6/yr),0.905,Heavy Meat Eater,2,No,Rarely (1-2/month),Tap / Filtered (0),7.045,15.951
Bus Only,20.5,1,2.837,Tablet Only,0.5,5.2,Budget Phone (4000 mAh),2,Family Home (High Usage),6.557,1.0,0,0.2,Never,20.0,None,Medium (3-4 cycles/wk),2.284,3,Minimal / Capsule,Frequently (monthly),0.764,Heavy Meat Eater,1,No,Frequently (3+/week),Tap / Filtered (0),7.227,19.669
Walking / Cycling,30.6,1,0.685,Standard Office Laptop,0.0,2.6,Flagship Phone (5000 mAh),2,Dormitory (Shared),1.578,2.0,0,2.5,Never,15.0,None,High (5+ cycles/wk),2.113,6,Streetwear / Heavy Denim,Rarely (1-2/yr),3.901,Vegetarian,2,Yes,Rarely (1-2/month),3-4 bottles/day,4.525,12.803
Marmaray + Metro (cross-city),22.2,1,1.307,Tablet Only,4.1,4.8,Flagship Phone (5000 mAh),2,Dormitory (Shared),1.586,1.0,5,2.9,Strict Recycler,19.0,None,Low (1-2 cycles/wk),1.523,9,Streetwear / Heavy Denim,Sometimes (3-6/yr),5.855,Moderate Meat,3,No,Sometimes (1-2/week),1-2 bottles/day,5.7,15.972
Electric Scooter / E-Bike,10.0,1,0.835,Desktop Gaming PC,0.2,5.5,Flagship Phone (5000 mAh),1,Apartment (Electric),4.749,0.0,0,3.0,Sometimes,16.0,None,Medium (3-4 cycles/wk),1.515,5,Vintage / Thrift,Rarely (1-2/yr),0.751,Pescatarian,3,No,Rarely (1-2/month),3-4 bottles/day,4.985,12.836
Personal Car (Hybrid),20.1,1,2.896,Mid-Range Gaming Laptop,1.3,5.6,Budget Phone (4000 mAh),1,Dormitory (Shared),1.881,0.0,0,3.3,Sometimes,12.0,None,High (5+ cycles/wk),1.31,6,Minimal / Capsule,Rarely (1-2/yr),1.501,Pescatarian,6,No,Never,5+ bottles/day,5.26,12.849
Ferry + Bus,6.7,1,1.321,High-End Gaming Laptop,2.8,2.8,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),1.879,0.0,5,3.9,Never,6.0,None,High (5+ cycles/wk),2.076,1,Fast Fashion,Sometimes (3-6/yr),0.505,Moderate Meat,3,Yes,Rarely (1-2/month),3-4 bottles/day,6.385,12.167
Electric Scooter / E-Bike,12.5,1,0.872,High-End Gaming Laptop,0.7,2.7,Flagship Phone (5000 mAh),1,Dormitory (Shared),1.735,1.0,0,2.9,Strict Recycler,9.0,Cat (Indoor),Medium (3-4 cycles/wk),0.683,2,Streetwear / Heavy Denim,Never,1.3,Moderate Meat,2,No,Sometimes (1-2/week),1-2 bottles/day,5.64,10.231
Marmaray + Metro (cross-city),21.2,3,2.648,High-End Gaming Laptop,0.2,2.3,Mid-Range Phone (4500 mAh),1,Apartment (Natural Gas),4.375,2.0,2,2.4,Never,20.0,Cat (Indoor),High (5+ cycles/wk),3.791,10,Streetwear / Heavy Denim,Rarely (1-2/yr),6.501,Moderate Meat,1,No,Rarely (1-2/month),Tap / Filtered (0),5.385,22.701
Walking / Cycling,11.6,1,0.685,Tablet Only,3.7,6.4,Budget Phone (4000 mAh),1,Apartment (Natural Gas),4.28,0.0,3,2.4,Sometimes,19.0,None,Dormitory / Outsourced,2.132,5,Streetwear / Heavy Denim,Never,3.25,Vegan,2,No,Rarely (1-2/month),1-2 bottles/day,2.865,13.212
Walking / Cycling,83.7,4,2.74,Tablet Only,2.5,4.9,Flagship Phone (5000 mAh),1,Apartment (Natural Gas),4.264,0.0,0,2.1,Sometimes,9.0,None,High (5+ cycles/wk),0.944,4,Fast Fashion,Rarely (1-2/yr),2.001,Moderate Meat,1,No,Sometimes (1-2/week),1-2 bottles/day,5.58,15.529
Ferry + Bus,4.0,1,1.065,Standard Office Laptop,11.2,2.8,Flagship Phone (5000 mAh),2,Apartment (Electric),4.12,0.0,1,4.2,Never,3.0,None,High (5+ cycles/wk),1.126,3,Streetwear / Heavy Denim,Rarely (1-2/yr),1.951,Heavy Meat Eater,1,Yes,Never,Tap / Filtered (0),7.56,15.822
Personal Car (Hybrid),10.1,4,3.851,Mid-Range Gaming Laptop,1.1,4.2,Budget Phone (4000 mAh),1,Apartment (Natural Gas),4.495,3.0,0,2.0,Never,11.0,None,Dormitory / Outsourced,1.38,0,Minimal / Capsule,Never,0.0,Moderate Meat,2,Yes,Rarely (1-2/month),3-4 bottles/day,6.325,16.051
Metrobüs,7.7,2,1.87,Tablet Only,0.2,3.8,Flagship Phone (5000 mAh),1,Dormitory (Shared),1.54,2.0,0,4.3,Never,11.0,Cat (Indoor),High (5+ cycles/wk),2.662,3,Fast Fashion,Rarely (1-2/yr),1.501,Pescatarian,2,No,Sometimes (1-2/week),Tap / Filtered (0),4.72,12.294
Personal Car (Hybrid),9.1,1,1.686,Mid-Range Gaming Laptop,3.3,2.5,Mid-Range Phone (4500 mAh),2,Family Home (High Usage),6.834,0.0,0,3.0,Sometimes,11.0,Medium/Large Dog,High (5+ cycles/wk),3.694,4,Vintage / Thrift,Never,0.6,Pescatarian,1,No,Frequently (3+/week),3-4 bottles/day,5.107,17.92
Walking / Cycling,9.5,3,2.055,Standard Office Laptop,1.8,4.1,Budget Phone (4000 mAh),2,Dormitory (Shared),1.642,0.0,3,2.2,Sometimes,15.0,Cat (Indoor),Low (1-2 cycles/wk),2.578,2,Streetwear / Heavy Denim,Sometimes (3-6/yr),1.305,Vegan,3,No,Rarely (1-2/month),Tap / Filtered (0),2.805,10.385
Bus Only,5.9,0,0.62,Tablet Only,0.6,4.3,Budget Phone (4000 mAh),1,Dormitory (Shared),1.543,1.0,3,3.9,Sometimes,16.0,Cat (Indoor),Medium (3-4 cycles/wk),2.938,2,Streetwear / Heavy Denim,Never,1.3,Vegan,3,No,Frequently (3+/week),1-2 bottles/day,3.167,9.567
Marmaray + Metro (cross-city),25.2,3,2.76,High-End Gaming Laptop,3.8,6.9,Flagship Phone (5000 mAh),1,Dormitory (Shared),2.216,0.0,3,1.9,Sometimes,17.0,None,High (5+ cycles/wk),2.233,4,Vintage / Thrift,Sometimes (3-6/yr),0.605,Moderate Meat,4,Yes,Rarely (1-2/month),3-4 bottles/day,6.445,14.26
Ferry + Bus,10.1,1,1.644,High-End Gaming Laptop,0.6,3.0,Budget Phone (4000 mAh),2,Apartment (Natural Gas),4.454,0.0,1,4.0,Sometimes,14.0,None,High (5+ cycles/wk),1.715,4,Minimal / Capsule,Rarely (1-2/yr),1.001,Moderate Meat,1,No,Rarely (1-2/month),Tap / Filtered (0),5.385,14.2
Marmaray + Metro (cross-city),16.7,0,0.468,Desktop Gaming PC,0.8,1.4,Flagship Phone (5000 mAh),2,Dormitory (Shared),1.885,0.0,0,3.3,Sometimes,3.0,Small Dog,Medium (3-4 cycles/wk),1.332,2,Fast Fashion,Frequently (monthly),1.014,Vegetarian,4,No,Sometimes (1-2/week),1-2 bottles/day,3.96,8.658
Personal Car (Gasoline),11.0,1,2.797,Desktop Office PC,0.2,2.4,Flagship Phone (5000 mAh),2,Dormitory (Shared),1.646,3.0,3,2.1,Strict Recycler,10.0,Medium/Large Dog,Dormitory / Outsourced,2.786,4,Minimal / Capsule,Frequently (monthly),1.014,Vegan,4,Yes,Frequently (3+/week),Tap / Filtered (0),3.707,11.949
Personal Car (Gasoline),9.2,5,5.191,Ultrabook / Thin Laptop,1.3,2.7,Budget Phone (4000 mAh),1,Dormitory (Shared),1.565,0.0,2,3.8,Sometimes,24.0,None,Medium (3-4 cycles/wk),2.692,8,Minimal / Capsule,Never,2.0,Moderate Meat,2,No,Rarely (1-2/month),3-4 bottles/day,5.725,17.173
Personal Car (Hybrid),48.0,0,5.28,Desktop Office PC,1.4,3.4,Flagship Phone (5000 mAh),3,Dormitory (Shared),1.761,3.0,4,3.8,Never,14.0,None,High (5+ cycles/wk),2.775,3,Streetwear / Heavy Denim,Never,1.95,Moderate Meat,3,No,Never,3-4 bottles/day,5.76,17.526
Walking / Cycling,28.4,1,0.685,Tablet Only,1.8,2.4,Mid-Range Phone (4500 mAh),1,Apartment (Natural Gas),4.24,0.0,1,4.7,Never,14.0,Cat (Indoor),Medium (3-4 cycles/wk),2.925,7,Streetwear / Heavy Denim,Sometimes (3-6/yr),4.555,Vegan,3,No,Never,3-4 bottles/day,3.06,15.466
Walking / Cycling,4.0,2,1.37,Mid-Range Gaming Laptop,3.1,5.2,Mid-Range Phone (4500 mAh),3,Apartment (Electric),4.28,2.0,0,4.4,Sometimes,14.0,None,Medium (3-4 cycles/wk),1.439,8,Vintage / Thrift,Rarely (1-2/yr),1.201,Moderate Meat,0,No,Rarely (1-2/month),3-4 bottles/day,5.605,13.895
Metrobüs,3.7,2,1.61,Tablet Only,5.9,2.3,Flagship Phone (5000 mAh),2,Apartment (Electric),3.881,0.0,3,3.7,Sometimes,14.0,Cat (Indoor),Dormitory / Outsourced,2.554,1,Fast Fashion,Never,0.5,Moderate Meat,0,Yes,Sometimes (1-2/week),1-2 bottles/day,6.12,14.665
Metrobüs,30.9,1,2.693,Mid-Range Gaming Laptop,0.4,4.0,Mid-Range Phone (4500 mAh),3,Dormitory (Shared),1.769,0.0,0,1.3,Strict Recycler,3.0,Cat (Indoor),Medium (3-4 cycles/wk),-0.029,1,Fast Fashion,Never,0.5,Vegan,4,No,Rarely (1-2/month),Tap / Filtered (0),2.865,7.799
Metrobüs,10.3,0,0.67,Mid-Range Gaming Laptop,0.1,7.0,Flagship Phone (5000 mAh),2,Dormitory (Shared),1.907,1.0,1,6.7,Never,11.0,None,Low (1-2 cycles/wk),1.766,3,Fast Fashion,Rarely (1-2/yr),1.501,Vegetarian,0,Yes,Rarely (1-2/month),Tap / Filtered (0),4.125,9.969
Bus Only,4.7,0,0.494,Desktop Office PC,0.0,4.8,Mid-Range Phone (4500 mAh),3,Family Home (High Usage),6.757,0.0,0,0.9,Sometimes,12.0,Medium/Large Dog,Medium (3-4 cycles/wk),3.5,4,Fast Fashion,Frequently (monthly),2.014,Moderate Meat,1,No,Sometimes (1-2/week),1-2 bottles/day,5.58,18.343
Electric Scooter / E-Bike,30.9,1,1.148,Ultrabook / Thin Laptop,0.4,4.7,Budget Phone (4000 mAh),2,Dormitory (Shared),1.589,0.0,2,4.4,Never,18.0,Medium/Large Dog,Medium (3-4 cycles/wk),5.125,3,Minimal / Capsule,Frequently (monthly),0.764,Moderate Meat,3,No,Frequently (3+/week),1-2 bottles/day,5.867,14.493
Personal Car (Diesel),16.7,1,3.541,Desktop Gaming PC,2.7,6.8,Flagship Phone (5000 mAh),2,Apartment (Electric),5.386,1.0,3,3.6,Never,12.0,Small Dog,High (5+ cycles/wk),3.45,3,Streetwear / Heavy Denim,Never,1.95,Moderate Meat,4,Yes,Never,3-4 bottles/day,6.42,20.747
Electric Scooter / E-Bike,17.7,4,3.005,Desktop Office PC,3.3,5.9,Flagship Phone (5000 mAh),2,Dormitory (Shared),1.956,0.0,0,1.2,Sometimes,4.0,None,Dormitory / Outsourced,0.066,5,Fast Fashion,Rarely (1-2/yr),2.501,Vegan,2,No,Sometimes (1-2/week),Tap / Filtered (0),2.82,10.348
Marmaray + Metro (cross-city),26.2,0,0.734,Ultrabook / Thin Laptop,3.9,4.8,Flagship Phone (5000 mAh),1,Family Home (High Usage),6.634,2.0,0,2.8,Sometimes,14.0,None,Low (1-2 cycles/wk),1.208,0,Fast Fashion,Never,0.0,Vegan,2,No,Frequently (3+/week),Tap / Filtered (0),2.987,11.563
Electric Scooter / E-Bike,5.9,1,0.773,High-End Gaming Laptop,0.7,3.5,Flagship Phone (5000 mAh),2,Dormitory (Shared),1.8,2.0,0,2.9,Never,8.0,None,High (5+ cycles/wk),1.435,10,Vintage / Thrift,Rarely (1-2/yr),1.501,Vegetarian,2,No,Rarely (1-2/month),1-2 bottles/day,3.765,9.275
Bus Only,4.7,0,0.494,High-End Gaming Laptop,0.9,4.0,Flagship Phone (5000 mAh),1,Apartment (Natural Gas),4.534,1.0,1,5.0,Strict Recycler,6.0,None,High (5+ cycles/wk),-0.006,2,Vintage / Thrift,Sometimes (3-6/yr),0.305,Moderate Meat,2,No,Sometimes (1-2/week),Tap / Filtered (0),5.52,10.847
Marmaray + Metro (cross-city),45.0,0,1.26,Mid-Range Gaming Laptop,1.6,3.9,Flagship Phone (5000 mAh),1,Apartment (Natural Gas),4.509,0.0,0,1.9,Sometimes,8.0,None,Dormitory / Outsourced,0.505,8,Minimal / Capsule,Sometimes (3-6/yr),2.005,Heavy Meat Eater,3,Yes,Sometimes (1-2/week),1-2 bottles/day,7.9,16.179
Electric Scooter / E-Bike,5.4,1,0.766,Standard Office Laptop,0.2,3.4,Budget Phone (4000 mAh),1,Apartment (Natural Gas),4.285,0.0,0,2.6,Never,15.0,None,Dormitory / Outsourced,1.743,1,Designer / Luxury,Rarely (1-2/yr),0.751,Pescatarian,3,No,Never,1-2 bottles/day,4.8,12.345
Bus Only,6.3,1,1.346,Tablet Only,2.4,4.3,Budget Phone (4000 mAh),2,Dormitory (Shared),1.564,0.0,5,0.0,Sometimes,18.0,Cat (Indoor),High (5+ cycles/wk),3.412,2,Vintage / Thrift,Never,0.3,Moderate Meat,4,No,Rarely (1-2/month),1-2 bottles/day,5.685,12.307
Personal Car (Diesel),7.3,1,1.933,Tablet Only,10.3,4.5,Mid-Range Phone (4500 mAh),2,Apartment (Natural Gas),4.325,1.0,0,5.6,Never,14.0,None,Medium (3-4 cycles/wk),1.982,2,Streetwear / Heavy Denim,Rarely (1-2/yr),1.301,Pescatarian,3,No,Sometimes (1-2/week),Tap / Filtered (0),4.78,14.321
Electric Scooter / E-Bike,63.8,3,3.012,Mid-Range Gaming Laptop,1.1,2.1,Flagship Phone (5000 mAh),2,Apartment (Natural Gas),4.396,0.0,1,1.4,Never,15.0,None,Low (1-2 cycles/wk),1.851,11,Fast Fashion,Frequently (monthly),5.514,Pescatarian,6,Yes,Rarely (1-2/month),5+ bottles/day,5.885,20.658
Bus Only,21.0,1,2.89,Standard Office Laptop,3.5,6.4,Mid-Range Phone (4500 mAh),3,Dormitory (Shared),1.74,0.0,0,3.5,Never,14.0,None,Medium (3-4 cycles/wk),1.843,0,Vintage / Thrift,Never,0.0,Moderate Meat,3,No,Rarely (1-2/month),Tap / Filtered (0),5.505,11.978
Metrobüs,29.2,4,4.638,Ultrabook / Thin Laptop,1.7,4.6,Mid-Range Phone (4500 mAh),2,Dormitory (Shared),1.61,0.0,3,2.8,Sometimes,13.0,Cat (Indoor),High (5+ cycles/wk),2.733,5,Minimal / Capsule,Rarely (1-2/yr),1.251,Vegan,6,Yes,Rarely (1-2/month),Tap / Filtered (0),3.585,13.816
Walking / Cycling,17.1,3,2.055,High-End Gaming Laptop,0.3,3.6,Budget Phone (4000 mAh),2,Apartment (Natural Gas),4.474,0.0,4,2.9,Sometimes,15.0,Cat (Indoor),High (5+ cycles/wk),3.105,7,Minimal / Capsule,Sometimes (3-6/yr),1.755,Heavy Meat Eater,6,Yes,Sometimes (1-2/week),1-2 bottles/day,8.08,19.469
Metrobüs,9.8,1,1.322,Tablet Only,2.2,4.3,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),1.556,2.0,2,4.2,Strict Recycler,3.0,None,High (5+ cycles/wk),-0.16,5,Vintage / Thrift,Sometimes (3-6/yr),0.755,Vegetarian,2,No,Rarely (1-2/month),Tap / Filtered (0),3.645,7.118
Walking / Cycling,23.1,2,1.37,Desktop Office PC,0.9,5.4,Budget Phone (4000 mAh),1,Apartment (Natural Gas),4.505,2.0,0,5.5,Never,13.0,Medium/Large Dog,High (5+ cycles/wk),4.578,3,Fast Fashion,Frequently (monthly),1.514,Moderate Meat,3,Yes,Rarely (1-2/month),Tap / Filtered (0),6.105,18.071
Ferry + Bus,5.0,1,1.16,Standard Office Laptop,0.1,1.8,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),1.551,0.0,0,3.4,Never,7.0,None,Medium (3-4 cycles/wk),1.137,9,Streetwear / Heavy Denim,Rarely (1-2/yr),5.851,Vegetarian,0,Yes,Rarely (1-2/month),Tap / Filtered (0),4.125,13.824
Ferry + Bus,6.9,0,0.656,Ultrabook / Thin Laptop,2.5,3.8,Flagship Phone (5000 mAh),1,Apartment (Natural Gas),4.301,4.0,1,4.0,Sometimes,18.0,None,High (5+ cycles/wk),2.209,8,Streetwear / Heavy Denim,Rarely (1-2/yr),5.201,Pescatarian,1,No,Sometimes (1-2/week),1-2 bottles/day,4.78,17.147
Ferry + Bus,24.9,2,3.735,High-End Gaming Laptop,4.9,2.2,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),1.978,0.0,0,3.5,Sometimes,11.0,Cat (Indoor),Low (1-2 cycles/wk),1.75,3,Streetwear / Heavy Denim,Rarely (1-2/yr),1.951,Heavy Meat Eater,4,No,Never,3-4 bottles/day,7.42,16.834
Personal Car (Diesel),5.8,0,0.992,Desktop Office PC,1.1,8.0,Budget Phone (4000 mAh),2,Apartment (Natural Gas),4.645,0.0,2,4.5,Strict Recycler,12.0,Cat (Indoor),Low (1-2 cycles/wk),1.238,4,Streetwear / Heavy Denim,Frequently (monthly),2.614,Moderate Meat,1,No,Rarely (1-2/month),1-2 bottles/day,5.505,14.993
Metrobüs,13.0,1,1.53,Standard Office Laptop,1.2,4.2,Budget Phone (4000 mAh),1,Dormitory (Shared),1.623,0.0,0,2.3,Never,4.0,None,Low (1-2 cycles/wk),0.634,10,Fast Fashion,Sometimes (3-6/yr),5.005,Heavy Meat Eater,0,No,Rarely (1-2/month),1-2 bottles/day,7.045,15.837
Walking / Cycling,13.5,2,1.37,Mid-Range Gaming Laptop,5.5,2.2,Budget Phone (4000 mAh),2,Dormitory (Shared),1.933,0.0,4,4.6,Never,17.0,Small Dog,Dormitory / Outsourced,3.82,11,Fast Fashion,Sometimes (3-6/yr),5.505,Heavy Meat Eater,1,No,Never,Tap / Filtered (0),6.96,19.588
Bus Only,10.3,0,1.082,Mid-Range Gaming Laptop,4.2,9.4,Mid-Range Phone (4500 mAh),2,Dormitory (Shared),2.256,2.0,2,4.7,Never,15.0,Small Dog,Low (1-2 cycles/wk),3.346,3,Vintage / Thrift,Never,0.45,Vegetarian,2,No,Rarely (1-2/month),Tap / Filtered (0),3.645,10.778
Marmaray + Metro (cross-city),3.8,0,0.106,Mid-Range Gaming Laptop,3.1,3.2,Mid-Range Phone (4500 mAh),2,Family Home (High Usage),6.861,4.0,2,4.6,Never,15.0,None,Dormitory / Outsourced,2.28,7,Fast Fashion,Sometimes (3-6/yr),3.505,Moderate Meat,4,No,Sometimes (1-2/week),Tap / Filtered (0),5.64,18.393
Bus Only,9.6,3,3.063,Tablet Only,0.7,3.7,Budget Phone (4000 mAh),2,Dormitory (Shared),1.548,1.0,0,2.0,Never,8.0,None,Medium (3-4 cycles/wk),1.184,3,Vintage / Thrift,Rarely (1-2/yr),0.451,Moderate Meat,5,No,Sometimes (1-2/week),3-4 bottles/day,5.98,12.226
Marmaray + Metro (cross-city),8.4,1,0.92,Ultrabook / Thin Laptop,6.0,3.8,Flagship Phone (5000 mAh),2,Apartment (Natural Gas),4.362,0.0,0,2.7,Never,8.0,None,Medium (3-4 cycles/wk),1.199,3,Fast Fashion,Never,1.5,Moderate Meat,2,Yes,Sometimes (1-2/week),Tap / Filtered (0),6.12,14.1
Personal Car (Gasoline),16.7,0,3.206,Mid-Range Gaming Laptop,0.4,2.7,Flagship Phone (5000 mAh),1,Dormitory (Shared),1.679,0.0,4,3.4,Sometimes,13.0,None,Dormitory / Outsourced,1.754,2,Fast Fashion,Never,1.0,Pescatarian,3,No,Rarely (1-2/month),5+ bottles/day,5.105,12.744
Bus Only,16.1,1,2.375,Tablet Only,2.5,4.4,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),1.559,0.0,0,0.9,Sometimes,9.0,None,High (5+ cycles/wk),0.878,2,Minimal / Capsule,Sometimes (3-6/yr),0.505,Vegetarian,0,No,Never,Tap / Filtered (0),3.5,8.818
Electric Scooter / E-Bike,19.4,1,0.976,Desktop Gaming PC,0.1,0.7,Mid-Range Phone (4500 mAh),1,Apartment (Natural Gas),4.342,0.0,3,5.4,Never,14.0,Cat (Indoor),Medium (3-4 cycles/wk),3.297,5,Streetwear / Heavy Denim,Rarely (1-2/yr),3.251,Moderate Meat,5,Yes,Frequently (3+/week),1-2 bottles/day,6.587,18.453
Electric Scooter / E-Bike,9.3,1,0.824,Tablet Only,2.6,5.6,Budget Phone (4000 mAh),3,Apartment (Natural Gas),4.283,0.0,3,3.0,Sometimes,3.0,None,Medium (3-4 cycles/wk),0.715,4,Minimal / Capsule,Sometimes (3-6/yr),1.005,Pescatarian,2,No,Rarely (1-2/month),3-4 bottles/day,4.925,11.753
Personal Car (Hybrid),21.5,5,5.79,High-End Gaming Laptop,0.8,2.3,Mid-Range Phone (4500 mAh),2,Family Home (High Usage),6.725,3.0,1,3.4,Sometimes,10.0,Cat (Indoor),Dormitory / Outsourced,1.874,2,Fast Fashion,Sometimes (3-6/yr),1.005,Vegetarian,5,No,Sometimes (1-2/week),Tap / Filtered (0),3.9,19.294
Metrobüs,5.0,1,1.01,Tablet Only,1.5,3.4,Mid-Range Phone (4500 mAh),2,Family Home (High Usage),6.555,0.0,5,2.1,Strict Recycler,21.0,None,Medium (3-4 cycles/wk),1.799,3,Fast Fashion,Never,1.5,Heavy Meat Eater,1,Yes,Frequently (3+/week),1-2 bottles/day,7.947,18.811
Marmaray + Metro (cross-city),4.2,1,0.803,Ultrabook / Thin Laptop,1.1,5.1,Budget Phone (4000 mAh),2,Apartment (Electric),3.904,0.0,0,1.0,Sometimes,14.0,None,High (5+ cycles/wk),1.384,3,Streetwear / Heavy Denim,Sometimes (3-6/yr),1.955,Vegetarian,2,Yes,Sometimes (1-2/week),Tap / Filtered (0),4.32,12.366
